threshold,precision,recall,f1,positive_predictions
0.3,0.24879614767255218,0.93,0.39257070493879276,1869
0.4,0.3047550432276657,0.846,0.4480932203389831,1388
0.5,0.36619718309859156,0.728,0.48728246318607765,994
0.6,0.4455732946298984,0.614,0.5164003364171573,689
0.7,0.5396825396825397,0.476,0.5058448459086079,441
