model,accuracy,precision,recall,f1,roc_auc,pr_auc
Random Forest,0.9155457552370452,0.36619718309859156,0.728,0.48728246318607765,0.9475430571761961,0.49086398220657573
Logistic Regression,0.8519294377067255,0.24985163204747773,0.842,0.3853546910755149,0.9158345390898482,0.37092609360923584
Dummy Baseline,0.9448732083792724,0.0,0.0,0.0,0.5,0.05512679162072767
