feature_set,accuracy,precision,recall,f1,roc_auc,pr_auc
With popularity,0.9366041896361632,0.4455732946298984,0.614,0.5164003364171573,0.9475430571761961,0.49086398220657573
Without popularity,0.9221609702315325,0.3236301369863014,0.378,0.34870848708487084,0.8015222870478413,0.2536064093713431
